,id,explanation_method,comprehensiveness,sufficiency,prob
322,708,decompx,-0.02549798721775938,-0.7680238605166475,0.014133014716207981
323,1928,decompx,0.800105012252572,-0.12651652551832654,0.8592399954795837
324,3654,decompx,0.6385073341094185,-0.28105113782533786,0.7112255692481995
325,173,decompx,0.8661783816684308,0.005283346642618594,0.9992941617965698
326,681,decompx,0.8418353749644559,0.019408397376537323,0.9879865050315857
327,824,decompx,0.7829806476063629,0.019620530022919632,0.9998243451118469
328,1778,decompx,-0.019917723666425916,-0.8940507224610736,0.004914930090308189
329,2190,decompx,0.683889970348696,0.003145700728399514,0.9998722076416016
330,1574,decompx,0.9102188058380059,0.046875533732500946,0.9790985584259033
331,725,decompx,0.3200856012602647,0.002219782807888129,0.9998729228973389
332,3862,decompx,0.6327245435384395,0.003672700245063622,0.9998644590377808
333,1500,decompx,0.786068865017464,0.007134368022282918,0.9998581409454346
334,3602,decompx,0.7942313050152734,0.021349792858879817,0.8836861252784729
335,99,decompx,0.8645617241324443,0.0064337544971042205,0.9997531771659851
336,3056,decompx,0.7771079657228526,0.0030035434497727286,0.9998201727867126
337,1403,decompx,0.7734153549251861,0.0073319067095601285,0.9997958540916443
338,4,decompx,0.7843101044052414,0.10426270546657698,0.9896931052207947
339,2323,decompx,0.7028669426466692,0.010311233487358705,0.9998231530189514
340,3877,decompx,0.7658471968063139,0.0021779683769726364,0.9998619556427002
341,2202,decompx,0.8082696212658895,0.019001689032902794,0.9997788071632385
342,2379,decompx,0.7603134194388985,0.007080346345901489,0.9997909665107727
343,55,decompx,0.8333056057664625,0.011221247361906876,0.9998519420623779
344,1772,decompx,0.5734022146605543,-0.28414063351719004,0.6643217206001282
345,1944,decompx,0.8026853531566611,0.006667535696456682,0.9966044425964355
346,1372,decompx,0.7153506623873231,0.02250502857507444,0.9997745156288147
347,2271,decompx,0.8288087607199688,0.006805480768283208,0.9993484616279602
348,3666,decompx,0.46250739574226685,0.006097694481808715,0.99988853931427
349,3170,decompx,0.7880286587976594,0.004832051772273791,0.9998468160629272
350,3942,decompx,0.7673227269666262,0.011860166448187158,0.9997878670692444
351,2485,decompx,0.06506903891293507,0.15405669855246754,0.999714195728302
352,2430,decompx,0.44332341469513875,0.003832167387008667,0.999446451663971
353,348,decompx,0.0172568416595459,0.02646889805793762,0.9998400211334229
354,1852,decompx,0.5211527030643103,0.009476341035244239,0.9998606443405151
355,78,decompx,0.6477463731635654,0.015150487049246283,0.9998641014099121
356,3124,decompx,-0.07012861244478825,-0.8097538017822381,0.00012289306323509663
357,3159,decompx,0.5881556006248932,0.019013104349745756,0.9998530149459839
358,2087,decompx,0.2051820152697443,0.029545672801362367,0.9994342923164368
359,1543,decompx,0.7313037385509626,0.010191921607868092,0.9998773336410522
360,152,decompx,0.526720598119458,-0.2898012415358895,0.6777406930923462
361,3649,decompx,0.7297907436847569,0.019225527842839558,0.999811589717865
362,950,decompx,0.5814902764493531,0.0028272153687303085,0.9998618364334106
363,2240,decompx,0.06454026805503028,0.0465492022889001,0.9991777539253235
364,3006,decompx,0.14468072233973323,0.07318459934479482,0.9996315240859985
365,1030,decompx,0.2355493638737529,0.003790164402886933,0.9998831748962402
366,2825,decompx,0.030813580847041493,0.03387267417448727,0.9998088479042053
367,1802,decompx,0.9233808841361054,0.011816934418322435,0.9966928958892822
368,1624,decompx,0.6586743539449779,0.01121876421182052,0.9996902942657471
369,3273,decompx,0.6285967972249754,0.0026088703063226514,0.9998273253440857
370,2155,decompx,0.5341146035740773,0.006743241479431374,0.9998725652694702
371,1521,decompx,0.8475565101091679,-0.0031053290917323188,0.9871664643287659
372,3585,decompx,0.8544470442904403,-0.06772678744965706,0.9273778200149536
373,1022,decompx,0.8364686176724111,0.007468194762865702,0.99472576379776
374,3527,decompx,0.15897460802829355,0.20411138628658496,0.9962671399116516
375,140,decompx,0.5427091407279173,0.008354394634564718,0.9963956475257874
376,3358,decompx,0.9583700653126505,0.0007281292367864538,0.9972475171089172
377,3047,decompx,0.806005846497649,0.027852315851982605,0.9995419979095459
378,3252,decompx,0.786792561635375,0.008175795078277587,0.9997485280036926
379,280,decompx,0.740708041815635,0.0023165106773376464,0.9997988343238831
380,2865,decompx,0.3116338869685647,0.002474070719952853,0.9998612403869629
381,487,decompx,0.802832271769428,0.003351672337605403,0.9998158812522888
382,3404,decompx,0.8595229051203179,0.01836454096457941,0.9993597865104675
383,2021,decompx,0.435589302750882,-0.5064097592848857,0.4759511351585388
384,2412,decompx,0.9441675729198439,0.011385329659022982,0.9968121647834778
385,2360,decompx,0.8263535201927502,0.00779610098182381,0.9974542260169983
386,455,decompx,0.8019032496063468,-0.05466521914894059,0.8897480964660645
